iter	Passed	Remaining
0	149	149687
1	150	75310
2	151	50412
3	152	37955
4	153	30516
5	154	25544
6	155	21992
7	156	19345
8	156	17269
9	157	15603
10	158	14245
11	159	13110
12	160	12154
13	160	11338
14	161	10626
15	162	10011
16	163	9459
17	164	8965
18	165	8527
19	165	8132
20	166	7780
21	167	7458
22	168	7159
23	169	6883
24	170	6633
25	170	6401
26	171	6185
27	172	5986
28	173	5800
29	174	5626
30	174	5462
31	175	5309
32	176	5171
33	177	5036
34	178	4910
35	178	4791
36	179	4679
37	180	4572
38	181	4470
39	182	4372
40	182	4278
41	183	4187
42	184	4100
43	184	4016
44	185	3937
45	186	3861
46	186	3788
47	187	3718
48	188	3655
49	189	3591
50	190	3537
51	190	3479
52	191	3422
53	192	3365
54	192	3313
55	193	3263
56	194	3215
57	195	3169
58	195	3123
59	196	3078
60	197	3035
61	198	2998
62	198	2958
63	199	2918
64	200	2881
65	201	2844
66	201	2808
67	202	2769
68	202	2736
69	203	2703
70	204	2676
71	205	2648
72	206	2618
73	206	2589
74	207	2560
75	208	2533
76	209	2505
77	209	2479
78	210	2452
79	210	2425
80	211	2400
81	212	2375
82	212	2350
83	213	2326
84	213	2301
85	214	2278
86	214	2254
87	215	2232
88	216	2211
89	216	2191
90	217	2170
91	217	2150
92	218	2132
93	219	2115
94	220	2097
95	220	2080
96	221	2062
97	222	2045
98	222	2027
99	223	2010
100	224	1994
101	224	1976
102	225	1959
103	225	1944
104	226	1929
105	227	1914
106	227	1901
107	228	1887
108	229	1876
109	230	1862
110	230	1849
111	231	1836
112	232	1822
113	232	1809
114	233	1796
115	233	1782
116	234	1770
117	235	1758
118	235	1746
119	236	1733
120	237	1722
121	237	1710
122	238	1697
123	238	1686
124	239	1675
125	240	1664
126	240	1654
127	241	1642
128	241	1632
129	242	1622
130	243	1612
131	243	1602
132	244	1592
133	244	1582
134	245	1572
135	246	1563
136	247	1556
137	247	1548
138	248	1539
139	249	1530
140	249	1521
141	250	1512
142	250	1503
143	251	1494
144	252	1486
145	252	1477
146	253	1469
147	253	1461
148	254	1453
149	255	1445
150	255	1437
151	256	1429
152	256	1422
153	257	1414
154	258	1406
155	258	1399
156	259	1391
157	259	1384
158	260	1377
159	261	1371
160	261	1365
161	262	1360
162	263	1354
163	264	1347
164	265	1341
165	265	1336
166	266	1329
167	267	1323
168	267	1317
169	268	1310
170	269	1305
171	269	1299
172	270	1294
173	271	1288
174	272	1282
175	272	1277
176	273	1272
177	274	1266
178	274	1261
179	276	1258
180	276	1251
181	277	1248
182	278	1245
183	279	1240
184	280	1235
185	281	1230
186	282	1226
187	282	1221
188	283	1216
189	284	1211
190	284	1206
191	285	1201
192	286	1196
193	286	1191
194	287	1186
195	288	1181
196	288	1176
197	289	1171
198	289	1167
199	290	1162
200	291	1157
201	291	1152
202	292	1148
203	293	1143
204	293	1138
205	294	1134
206	294	1129
207	295	1125
208	296	1120
209	296	1116
210	297	1112
211	297	1107
212	298	1103
213	299	1099
214	300	1095
215	300	1091
216	301	1087
217	302	1083
218	302	1079
219	303	1075
220	304	1071
221	304	1067
222	305	1063
223	305	1059
224	306	1055
225	307	1051
226	307	1047
227	308	1043
228	308	1039
229	309	1036
230	310	1032
231	310	1028
232	311	1024
233	311	1021
234	312	1017
235	313	1013
236	313	1010
237	314	1006
238	315	1003
239	315	999
240	316	996
241	316	992
242	317	989
243	318	987
244	319	984
245	321	986
246	322	983
247	323	979
248	323	976
249	324	972
250	324	969
251	325	965
252	325	962
253	326	959
254	327	955
255	327	952
256	328	949
257	328	946
258	329	942
259	330	939
260	330	936
261	331	933
262	331	929
263	332	927
264	333	924
265	334	921
266	334	919
267	335	916
268	336	913
269	336	910
270	337	907
271	337	904
272	338	901
273	339	898
274	339	895
275	340	893
276	341	890
277	341	887
278	342	885
279	343	882
280	343	880
281	344	877
282	345	874
283	345	871
284	346	870
285	347	867
286	348	865
287	348	862
288	349	859
289	350	857
290	350	854
291	351	852
292	352	849
293	352	847
294	353	844
295	354	842
296	354	839
297	355	837
298	355	834
299	356	831
300	357	829
301	357	826
302	358	824
303	359	821
304	359	819
305	360	816
306	360	814
307	362	813
308	363	811
309	363	809
310	364	807
311	364	804
312	365	802
313	366	800
314	366	797
315	367	795
316	368	793
317	369	791
318	369	789
319	370	786
320	370	784
321	371	782
322	372	779
323	372	777
324	373	775
325	373	773
326	374	770
327	375	768
328	375	766
329	376	764
330	377	762
331	377	759
332	378	757
333	378	755
334	379	752
335	379	750
336	380	748
337	381	746
338	381	744
339	382	742
340	382	739
341	383	737
342	384	735
343	384	733
344	385	731
345	385	729
346	386	727
347	386	724
348	387	722
349	388	720
350	388	718
351	389	716
352	389	714
353	390	712
354	391	710
355	391	708
356	392	706
357	392	704
358	393	702
359	394	700
360	394	698
361	395	696
362	395	694
363	396	692
364	396	690
365	397	688
366	398	686
367	398	684
368	399	683
369	400	681
370	400	679
371	401	677
372	401	675
373	402	673
374	403	671
375	403	669
376	404	668
377	405	666
378	405	664
379	406	663
380	406	661
381	407	659
382	408	657
383	408	655
384	409	653
385	409	651
386	410	650
387	410	648
388	411	646
389	412	644
390	412	642
391	413	640
392	413	639
393	414	637
394	415	635
395	415	633
396	416	632
397	416	630
398	417	628
399	418	627
400	418	625
401	419	623
402	419	621
403	420	620
404	421	618
405	421	616
406	422	615
407	422	613
408	423	611
409	424	610
410	424	608
411	425	606
